,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average
113,2024-02-12 09:00:00,2492.69,2493.62,2431.4,2478.47,108.52420000,2024-02-12 09:59:59.999,269746.28100300,1274,87.81580000,218288.93675000,0,2474.0449999999996,1.0362502997385337
114,2024-02-12 10:00:00,2476.54,2484.55,2472.34,2480.01,86.83440000,2024-02-12 10:59:59.999,215261.14682600,1035,73.77890000,182883.85058100,0,2478.36,1.0380576314739598
115,2024-02-12 11:00:00,2480.0,2487.06,2476.81,2486.28,94.96550000,2024-02-12 11:59:59.999,235588.40228900,1051,76.98820000,190991.84490200,0,2482.5375,1.0398073715260434
116,2024-02-12 12:00:00,2486.5,2488.52,2481.27,2481.69,47.72770000,2024-02-12 12:59:59.999,118643.35369700,590,41.32480000,102733.38660700,0,2484.4950000000003,1.0406272676725317
117,2024-02-12 13:00:00,2481.74,2489.52,2481.14,2487.07,81.38270000,2024-02-12 13:59:59.999,202349.48625000,986,63.04010000,156747.96084100,0,2484.8675,1.0407832887783128
118,2024-02-12 14:00:00,2486.94,2526.82,2486.51,2526.54,124.72000000,2024-02-12 14:59:59.999,311748.06321700,1499,115.53320000,288804.30576000,0,2506.7025000000003,1.0499288480930349
119,2024-02-12 15:00:00,2526.54,2580.39,2520.6,2558.43,211.40960000,2024-02-12 15:59:59.999,535880.67852200,2434,181.00630000,458842.90149900,0,2546.4900000000002,1.0665937870092013
120,2024-02-12 16:00:00,2558.25,2559.79,2539.41,2544.16,170.52750000,2024-02-12 16:59:59.999,434577.02238000,2086,141.42070000,360414.49454200,0,2550.4025,1.068232532180662
121,2024-02-12 17:00:00,2544.42,2663.94,2543.86,2611.94,174.43900000,2024-02-12 17:59:59.999,449931.48604300,2184,146.46050000,377688.34706000,0,2591.0400000000004,1.085253492412034
122,2024-02-12 18:00:00,2611.63,2633.16,2612.945,2614.26,185.68850000,2024-02-12 18:59:59.999,485615.36704100,2327,148.38750000,388189.14067900,0,2617.99875,1.0965451272723847
123,2024-02-12 19:00:00,2613.0,2637.15,2612.48,2618.22,165.45000000,2024-02-12 19:59:59.999,434008.78297400,2064,129.18090000,338820.58641300,0,2620.2124999999996,1.097472353374192
124,2024-02-12 20:00:00,2618.49,2635.55,2612.01,2635.55,137.54910000,2024-02-12 20:59:59.999,360909.34252400,1759,110.96680000,291172.04009100,0,2625.4,1.0996451305184614
125,2024-02-12 21:00:00,2635.55,2646.43,2630.88,2630.9,133.46270000,2024-02-12 21:59:59.999,352206.30265000,1668,102.48620000,270443.98689300,0,2635.94,1.1040597948270103
126,2024-02-12 22:00:00,2631.02,2664.69,2644.065,2657.11,140.61580000,2024-02-12 22:59:59.999,371849.97216400,1749,121.30080000,320842.05481100,0,2649.22125,1.1096226278770973
127,2024-02-12 23:00:00,2656.28,2707.78,2657.33,2658.38,135.83160000,2024-02-12 23:59:59.999,360295.71034900,1730,103.26520000,273927.03407700,0,2669.9425,1.1183016945567483
128,2024-02-13 00:00:00,2659.0,2685.38,2663.62,2668.24,192.05330000,2024-02-13 00:59:59.999,513394.62837200,2259,120.58680000,322337.52629100,0,2669.06,1.1179320606618437
129,2024-02-13 01:00:00,2668.26,2681.02,2668.11,2667.96,155.61370000,2024-02-13 01:59:59.999,415283.79045300,1941,104.35580000,278430.34871200,0,2671.3375000000005,1.1188859883622917
130,2024-02-13 02:00:00,2668.22,2662.2349999999997,2662.2349999999997,2656.25,197.33010000,2024-02-13 02:59:59.999,525484.20331500,2333,149.30440000,397603.40060700,0,2662.2349999999997,1.115073418925046
131,2024-02-13 03:00:00,2656.35,2660.75,2635.97,2639.46,144.90470000,2024-02-13 03:59:59.999,383557.73858700,1889,89.30270000,236435.56133400,0,2648.1324999999997,1.1091666064571795
132,2024-02-13 04:00:00,2639.46,2651.21,2638.01,2647.66,97.34380000,2024-02-13 04:59:59.999,257380.06281100,1134,73.10890000,193269.82654800,0,2644.085,1.1074713167238919
133,2024-02-13 05:00:00,2647.74,2653.49,2643.04,2651.01,70.84730000,2024-02-13 05:59:59.999,187610.60918100,891,56.49870000,149603.08399800,0,2648.8199999999997,1.1094545648738898
134,2024-02-13 06:00:00,2650.38,2654.34,2645.44,2645.44,60.96620000,2024-02-13 06:59:59.999,161571.66775000,768,50.21220000,133067.34493600,0,2648.9,1.10948807276238
135,2024-02-13 07:00:00,2645.1,2651.2,2640.81,2649.33,65.22780000,2024-02-13 07:59:59.999,172682.81996500,793,55.55200000,147057.76589400,0,2646.6099999999997,1.1085289094543553
136,2024-02-13 08:00:00,2649.59,2663.04,2647.08,2661.87,97.59410000,2024-02-13 08:59:59.999,259128.97644400,1189,82.80540000,219881.93984700,0,2655.395,1.1122084944591566
137,2024-02-13 09:00:00,2661.9,2673.76,2657.04,2669.33,90.08620000,2024-02-13 09:59:59.999,239979.04066800,1127,74.19120000,197628.36354900,0,2665.5074999999997,1.1164441009885873
138,2024-02-13 10:00:00,2669.17,2712.96,2665.0,2667.82,165.92530000,2024-02-13 10:59:59.999,443499.77236200,2113,133.97030000,358072.10359400,0,2678.7375,1.1219854680476107
139,2024-02-13 11:00:00,2667.82,2685.8,2664.67,2679.66,154.47500000,2024-02-13 11:59:59.999,413087.52327100,1950,127.09670000,339891.60849700,0,2674.4875,1.1202053614715828
140,2024-02-13 12:00:00,2679.83,2685.84,2673.22,2674.67,142.68140000,2024-02-13 12:59:59.999,382267.67691200,1804,113.30650000,303574.81047900,0,2678.39,1.1218399181569823
