,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average,ma5,ma15
309,2024/2/20 13:00,2931.8,3001.8,2927.64,1.241057844,183.595,00:00.0,544726.9112,2535,149.2918,443047.1988,0,2963.0225,1.241057844,1.222608087,1.226813815
310,2024/2/20 14:00,2990.94,3059.59,2929.28,1.247263086,175.0233,00:00.0,519711.6264,2472,130.6184,388152.4271,0,2977.8375,1.247263086,1.226358038,1.226646974
311,2024/2/20 15:00,2931.54,2924.845,2906.8,1.223177721,135.3317,00:00.0,396375.0044,1977,101.2177,296556.6843,0,2920.33375,1.223177721,1.232400557,1.227156294
312,2024/2/20 16:00,2918.37,2934.42,2844.24,1.214263052,158.1158,00:00.0,462054.5472,2216,118.4708,346313.5053,0,2899.05,1.214263052,1.233526423,1.22653727
313,2024/2/20 17:00,2896.91,2900.14,2894.87,1.214167764,196.1086,00:00.0,570076.5056,2708,162.7283,473043.1429,0,2898.8225,1.214167764,1.231283488,1.225740062
314,2024/2/20 18:00,2903.4,2965.78,2902.42,1.225075628,175.5997,00:00.0,512527.3754,2367,147.9557,431826.8489,0,2924.865,1.225075628,1.227985893,1.22508247
315,2024/2/20 19:00,2927.14,2984.52,2926.28,1.237176165,134.2795,00:00.0,396175.9365,1924,106.6698,314714.9429,0,2953.755,1.237176165,1.22478945,1.22521329
316,2024/2/20 20:00,2977.08,3043.22,2967.05,1.253051574,216.9826,00:00.0,646281.7708,2963,170.9481,509188.6645,0,2991.6575,1.253051574,1.222772066,1.226264391
317,2024/2/20 21:00,2978.41,2994.86,2970.01,1.249455759,193.0793,00:00.0,576081.4924,2823,152.5269,455035.0493,0,2983.0725,1.249455759,1.228746836,1.228077656
318,2024/2/20 22:00,2989.28,3043.22,2983.38,1.257621212,135.6931,00:00.0,405682.8613,1903,113.1813,338370.0216,0,3002.5675,1.257621212,1.235785378,1.229559333
319,2024/2/20 23:00,2994.39,3021.24,2994.39,1.259221214,154.8695,00:00.0,466011.6717,2220,124.0579,373239.4084,0,3006.3875,1.259221214,1.244476068,1.231690016
320,2024/2/21 0:00,3016,3017.12,2999.02,1.260269382,142.5453,00:00.0,429236.9002,1899,91.6971,276122.9567,0,3008.89,1.260269382,1.251305185,1.234150891
321,2024/2/21 1:00,3003.42,3004.48,2988.61,1.255389796,179.0843,00:00.0,536655.0754,2338,146.0552,437648.0659,0,2997.24,1.255389796,1.255923828,1.23703215
322,2024/2/21 2:00,2992.45,3000.85,2992.43,1.256020163,215.8145,00:00.0,649515.5381,2558,128.4049,386974.8924,0,2998.745,1.256020163,1.256391473,1.239554911
323,2024/2/21 3:00,3009.27,3013.05,3000.42,1.259376188,241.4346,00:00.0,726013.9007,2626,136.4529,410088.6649,0,3006.7575,1.259376188,1.257704354,1.241591073
324,2024/2/21 4:00,3004.09,3010,2986.6,1.255968854,144.5271,00:00.0,433804.842,1958,99.5872,298890.3811,0,2998.6225,1.255968854,1.258055349,1.24350577
325,2024/2/21 5:00,2993.77,3008.75,2972.78,1.251655761,171.7755,00:00.0,514403.3529,2209,130.2768,390000.9193,0,2988.325,1.251655761,1.257404877,1.244499837
326,2024/2/21 6:00,2978.09,2980.95,2952.21,1.242248421,181.7496,00:00.0,539831.425,2407,148.9905,442536.6292,0,2965.865,1.242248421,1.255682153,1.244792682
327,2024/2/21 7:00,2952.21,2953.84,2915,1.231462022,179.6163,00:00.0,528121.2204,2360,121.1943,356304.22,0,2940.1125,1.231462022,1.253053878,1.246064062
328,2024/2/21 8:00,2939.88,2955.4,2908.31,1.230353121,144.1873,00:00.0,424443.8114,1929,109.9761,323740.1214,0,2937.465,1.230353121,1.248142249,1.24721066
329,2024/2/21 9:00,2946.38,2946.98,2900,1.225889242,158.2005,00:00.0,462249.6882,2151,119.9387,350415.2765,0,2926.8075,1.225889242,1.242337636,1.248289684
330,2024/2/21 10:00,2913.6,2923.96,2888.48,1.219521696,175.7046,00:00.0,511240.0238,2494,143.1679,416554.9373,0,2911.605,1.219521696,1.236321713,1.248343925
331,2024/2/21 11:00,2920,2926.22,2910.32,1.220648399,184.0189,00:00.0,535925.8121,2424,129.9326,378358.2812,0,2914.295,1.220648399,1.2298949,1.24716696
332,2024/2/21 12:00,2900.02,2929.95,2881,1.217908082,179.4716,00:00.0,522106.3519,2466,136.7743,397810.2533,0,2907.7525,1.217908082,1.225574896,1.245006749
333,2024/2/21 13:00,2920.05,2928.3,2887.18,1.217738448,140.5638,00:00.0,409300.2575,1947,98.3669,286465.5597,0,2907.3475,1.217738448,1.222864108,1.24290357
334,2024/2/21 14:00,2892.76,2909.01,2880.87,1.212064096,202.1638,00:00.0,585183.2559,2770,159.0173,460291.127,0,2893.8,1.212064096,1.220341173,1.240244719
335,2024/2/21 15:00,2891.98,2921.49,2888.16,1.216206509,210.6225,00:00.0,612002.195,2927,169.9122,493668.3488,0,2903.69,1.216206509,1.217576144,1.237100911
336,2024/2/21 16:00,2913.02,2936.68,2907.15,1.223815941,200.4868,00:00.0,585450.7173,2782,157.0769,458606.1794,0,2921.8575,1.223815941,1.216913107,1.234163387
337,2024/2/21 17:00,2930.58,2934.66,2898.58,1.221976149,189.3092,00:00.0,552252.1192,2632,137.9145,402265.4737,0,2917.465,1.221976149,1.217546615,1.232058463
338,2024/2/21 18:00,2905.64,2908.43,2891.66,1.21502012,180.1446,00:00.0,522484.8598,2451,141.7696,411179.6652,0,2900.8575,1.21502012,1.218360229,1.229788862
339,2024/2/21 19:00,2897.74,2914.85,2892.03,1.216338446,198.4931,00:00.0,576623.711,2659,153.6881,446429.509,0,2904.005,1.216338446,1.217816563,1.226831791
340,2024/2/21 20:00,2911.74,2916.22,2901.56,1.218206511,165.6277,00:00.0,481809.0845,2275,121.4482,353313.5762,0,2908.465,1.218206511,1.218671433,1.224189764
341,2024/2/21 21:00,2903.96,2927.04,2899.84,1.220626409,199.3493,00:00.0,581100.447,2740,152.0181,443084.7285,0,2914.2425,1.220626409,1.219071434,1.221959814
342,2024/2/21 22:00,2925.87,2934.14,2913.36,1.225918561,149.796,00:00.0,437885.8488,2001,120.8977,353403.4073,0,2926.8775,1.225918561,1.218433527,1.220518346
343,2024/2/21 23:00,2934.16,2975,2932.26,1.236800248,170.9267,00:00.0,504721.0696,2568,129.3147,381824.1788,0,2952.8575,1.236800248,1.21922201,1.220148782
344,2024/2/22 0:00,2969.76,2969.78,2942.26,1.238383496,280.3308,00:00.0,829173.9469,4070,212.3039,627946.7775,0,2956.6375,1.238383496,1.223578035,1.22057859
345,2024/2/22 1:00,2944.87,2950.16,2909.37,1.226801285,200.2129,00:00.0,588508.3465,2417,101.8247,299119.5935,0,2928.985,1.226801285,1.227987045,1.221411541
346,2024/2/22 2:00,2911.54,2927.3,2910.44,1.221954159,223.75,00:00.0,653447.1927,2496,173.9033,507755.4036,0,2917.4125,1.221954159,1.229706,1.221896847
347,2024/2/22 3:00,2920.1,2941.03,2928.775,1.227996574,211.4976,00:00.0,618874.6436,2289,164.0717,479927.3569,0,2931.83875,1.227996574,1.22997155,1.221983897
348,2024/2/22 4:00,2936.88,2964.89,2923.16,1.23051333,149.9,00:00.0,439394.4427,1901,111.2104,325876.3605,0,2937.8475,1.23051333,1.230387152,1.222656464
349,2024/2/22 5:00,2926.33,2944.41,2934.74,1.230224325,301.2775,00:00.0,884632.0401,3289,200.6591,588824.5463,0,2937.1575,1.230224325,1.229129769,1.223508122
350,2024/2/22 6:00,2942.8,2962.14,2951.115,1.237224856,168.849,00:00.0,496798.2715,2137,101.8929,299814.1257,0,2953.87125,1.237224856,1.227497935,1.224718804
351,2024/2/22 7:00,2960.38,2995,2955.76,1.245609681,210.2838,00:00.0,624665.005,2603,161.7699,480221.4212,0,2973.89,1.245609681,1.229582649,1.226120027
352,2024/2/22 8:00,2985,3023.41,3002.05,1.25964111,255.3415,00:00.0,766353.92,3129,214.3633,643369.1551,0,3007.39,1.25964111,1.234313753,1.227572943
353,2024/2/22 9:00,3018.76,3032.53,3021.965,1.266852112,171.8009,00:00.0,518122.5179,2516,134.1777,404702.5684,0,3024.60625,1.266852112,1.24064266,1.230083941
354,2024/2/22 10:00,3024.89,3028.9,3011.705,1.263248967,142.9999,00:00.0,430335.0502,2218,101.7323,306215.9189,0,3016.00375,1.263248967,1.247910417,1.233539407
355,2024/2/22 11:00,2998.57,3041.68,2979.62,1.257770951,156.7722,00:00.0,468589.8201,2429,121.3592,362746.7105,0,3002.925,1.257770951,1.254515345,1.236666775
356,2024/2/22 12:00,2991.1,3004.98,2972.02,1.251128012,166.1739,00:00.0,496716.2486,2447,131.2733,392362.8701,0,2987.065,1.251128012,1.258624564,1.239304404
357,2024/2/22 13:00,2980.16,2984.11,2940.8,1.240406534,175.3305,00:00.0,519064.5248,2595,131.2922,388704.121,0,2961.4675,1.240406534,1.25972823,1.241337844
358,2024/2/22 14:00,2940.1,2966.2,2937.01,1.236599201,160.0594,00:00.0,472155.4129,2214,128.178,378120.9608,0,2952.3775,1.236599201,1.255881315,1.242303709
359,2024/2/22 15:00,2965.81,2996.84,2962.51,1.247132196,196.4197,00:00.0,584944.6309,2757,154.1329,459008.8212,0,2977.525,1.247132196,1.249830733,1.242290306
360,2024/2/22 16:00,2982.66,2989.2,2961.82,1.246027483,196.8546,00:00.0,585635.2934,2877,160.8657,478588.292,0,2974.8875,1.246027483,1.246607379,1.242873553
